AT,Y17,wastes from surface treatment,,,H12,C/P-treatment sludge,264.0,,DE,,R4
AT,Y17,wastes from surface treatment,,,H12,C/P-treatment sludge,85.0,,DE,,R4
AT,Y17,wastes from surface treatment,B1010,,H13,oil contaminated scrap,248.0,,DE,,R4
AT,Y17,wastes from surface treatment,B1010,,H13,oil contaminated scrap,335.0,,HU,,R4
AT,Y17,wastes from surface treatment,A1050,,H11,sludges,1.16,,DE,,R5
AT,Y17,wastes from surface treatment,A1050,,H13,Zn bearing sludge,213.0,,DE,,R4
AT,Y17,wastes from surface treatment,,,H13,slags and sludges,1.862,,DE,,R5
AT,Y17,wastes from surface treatment,,,H13,slags and sludges,806.0,,DE,,R5
AT,Y17,wastes from surface treatment,,,H13,c/p-sludges,7.48,,DE,,R5
AT,Y17,wastes from surface treatment,,5.1,H8,nitrates,77.0,,DE,D12,
AT,Y18,waste from waste treatment,,,H13,contaminated soil,2122.0,,DE,D1,
AT,Y18,wastes from waste treatment,A3120,,H13,FLUFF,286.0,,DE,,R12
AT,Y18,wastes from waste treatment,A3120,,H13,pre-treated wastes,163.0,DE,BE,,R12
AT,Y18,wastes from waste treatment,A2010,,H11,glass from X-ray tubes,1.546,,DE,,R5
AT,Y18,residues from waste incineration,A2010,,H11,glass from X-ray tubes,182.0,,DE,,R5
AT,Y18,residues from waste incineration,A1180,,H11,X-ray tubes ,291.0,,CH,,R5
AT,Y18,residues from waste incineration,A1180,,H11,X-ray tubes ,357.0,,DE,,R5
AT,Y18,residues from waste incineration,A1180,,H11,X-ray tubes ,1.823,CZ,DE,,R5
AT,Y18,wastes from waste treatment,,,H13,aqueous solutions,641.0,,DE,D10,
AT,Y18,wastes from waste treatment,,4.3,H13,salt slag,9403.0,DE,FR,,R4
AT,Y18,wastes from waste treatment,A1080,,H13,c/p-treatnment sludge,7.0,,DE,,R4
AT,Y18,wastes from waste treatment,,4.3,H13,salt slag,39625.0,,DE,,R5
AT,Y18,wastes from waste treatment,,4.3,H13,salt slag,13301.0,DE,FR,,R5
